"E/V","I/uA"
4.0910000E-01,2.3800000E-01
4.0860000E-01,-3.7200000E-02
4.0810000E-01,2.2390000E-01
4.0760000E-01,3.4900000E-02
4.0710000E-01,1.9860000E-01
4.0650000E-01,1.6430000E-01
4.0600000E-01,2.0890000E-01
4.0550000E-01,1.4710000E-01
4.0500000E-01,1.7980000E-01
4.0450000E-01,2.2230000E-01
4.0400000E-01,1.1250000E-01
4.0350000E-01,2.1650000E-01
4.0290000E-01,9.2800000E-02
4.0240000E-01,2.2440000E-01
4.0190000E-01,2.6600000E-02
4.0140000E-01,1.2110000E-01
4.0090000E-01,-3.5590000E-01
4.0040000E-01,1.5520000E-01
3.9990000E-01,-4.1760000E-01
3.9940000E-01,2.1610000E-01
3.9880000E-01,-3.3430000E-01
3.9830000E-01,1.7540000E-01
3.9780000E-01,-2.5000000E-01
3.9730000E-01,2.3260000E-01
3.9680000E-01,-1.9350000E-01
3.9630000E-01,2.4090000E-01
3.9580000E-01,-1.5530000E-01
3.9520000E-01,2.1180000E-01
3.9470000E-01,-4.3400000E-02
3.9420000E-01,1.6400000E-01
3.9370000E-01,-1.2990000E-01
3.9320000E-01,2.0020000E-01
3.9270000E-01,-3.4000000E-03
3.9220000E-01,1.3060000E-01
3.9160000E-01,-4.4400000E-02
3.9110000E-01,-1.7300000E-01
3.9060000E-01,-4.5900000E-02
3.9010000E-01,-3.7060000E-01
3.8960000E-01,-3.9500000E-02
3.8910000E-01,-3.7040000E-01
3.8860000E-01,-8.3400000E-02
3.8810000E-01,-2.5110000E-01
3.8750000E-01,-6.0100000E-02
3.8700000E-01,-2.1880000E-01
3.8650000E-01,4.6000000E-02
3.8600000E-01,-8.5900000E-02
3.8550000E-01,-7.0200000E-02
3.8500000E-01,-3.8100000E-02
3.8450000E-01,-5.0600000E-02
3.8390000E-01,-3.1500000E-02
3.8340000E-01,-4.8200000E-02
3.8290000E-01,2.6000000E-03
3.8240000E-01,-5.2700000E-02
3.8190000E-01,-5.3800000E-02
3.8140000E-01,-4.2640000E-01
3.8090000E-01,5.8000000E-03
3.8040000E-01,-6.2920000E-01
3.7980000E-01,3.7100000E-02
3.7930000E-01,-5.7980000E-01
3.7880000E-01,-1.4000000E-02
3.7830000E-01,-5.1190000E-01
3.7780000E-01,4.6900000E-02
3.7730000E-01,-4.1210000E-01
3.7680000E-01,4.3700000E-02
3.7620000E-01,-3.4810000E-01
3.7570000E-01,1.3100000E-02
3.7520000E-01,-2.9200000E-01
3.7470000E-01,6.3200000E-02
3.7420000E-01,-2.3830000E-01
3.7370000E-01,-1.3400000E-02
3.7320000E-01,-2.5210000E-01
3.7260000E-01,6.0000000E-04
3.7210000E-01,-2.3050000E-01
3.7160000E-01,-1.8110000E-01
3.7110000E-01,-1.4560000E-01
3.7060000E-01,-5.6890000E-01
3.7010000E-01,-1.9520000E-01
3.6960000E-01,-5.7380000E-01
3.6910000E-01,-1.7100000E-01
3.6850000E-01,-3.9530000E-01
3.6800000E-01,-1.5200000E-01
3.6750000E-01,-3.9210000E-01
3.6700000E-01,-2.0180000E-01
3.6650000E-01,-3.3810000E-01
3.6600000E-01,-1.5670000E-01
3.6550000E-01,-2.4980000E-01
3.6490000E-01,-1.9770000E-01
3.6440000E-01,-1.6610000E-01
3.6390000E-01,-1.7180000E-01
3.6340000E-01,-1.2220000E-01
3.6290000E-01,-1.2510000E-01
3.6240000E-01,-1.7830000E-01
